user_id,signup_date,trial_end_date,trial_length_days,age,country,gender,device_type,acquisition_channel,city_tier,preferred_plan_before_conversion,days_active_trial,sessions_count,avg_session_minutes,features_used,support_tickets,emails_opened,webinar_attended,payment_method_on_file,referred_friend,discount_offered_pct,plan_page_views,last_activity_gap_days,satisfaction_score,monthly_income_usd,converted_to_paid_plan,selected_plan,sessions_per_active_day,total_minutes_used,activity_intensity,high_commercial_intent
USR-00011,2025-07-08,2025-07-15,7,34.0,Perú,prefer_not_to_say,desktop,paid ads,tier_1,standard,5,7,12.6,8,0,5,0,0,0,0.0,5,11,6.9,1861.0,1,basic,1.4,88.2,40,0
USR-00012,2025-09-21,2025-10-05,14,28.0,Perú,female,desktop,referral,tier_1,premium,9,15,6.6,10,0,5,0,1,0,25.0,2,6,7.5,2199.0,1,premium,1.6666666666666667,99.0,90,1
USR-00013,2025-12-21,2025-12-28,7,33.0,Colombia,female,desktop,social media,tier_2,standard,5,7,15.9,12,1,3,0,1,0,5.0,2,3,8.2,2060.0,0,none,1.4,111.3,60,1
USR-00014,2025-05-25,2025-06-24,30,19.0, MÉXICO,male,tablet,Partner,tier_1,basic,9,19,2.0,15,0,2,0,0,0,20.0,6,31,7.3,2138.0,1,standard,2.111111111111111,38.0,135,0
USR-00015,2025-01-20,2025-02-03,14,33.0,Perú,male,desktop,organic search,tier_2,standard,6,5,9.8,10,1,3,0,0,0,0.0,3,7,10.0,250.0,0,none,0.8333333333333334,49.0,60,0
USR-00016,2025-10-16,2025-10-23,7,21.0,Colombia,male,mobile,partner,tier_3,basic,4,9,15.3,10,0,3,0,0,0,20.0,4,3,7.1,1458.0,0,none,2.25,137.70000000000002,40,0
USR-00017,2025-03-07,2025-03-14,7,45.0,Ecuador,male,mobile,referral,tier_1,standard,3,9,19.2,8,1,4,0,0,0,10.0,2,5,7.3,2201.0,1,standard,3.0,172.79999999999998,24,0
USR-00018,2025-10-04,2025-10-18,14,20.0,Colombia,male,desktop,referral,tier_1,standard,10,13,13.4,7,1,3,1,1,0,0.0,4,4,7.1,1458.0,0,none,1.3,174.20000000000002,70,1
USR-00019,2025-12-31,2026-01-14,14,27.0,Ecuador,female,desktop,referral,tier_2,basic,1,1,19.2,5,1,4,0,0,0,10.0,4,15,9.9,2840.0,0,none,1.0,19.2,5,0
USR-00020,2025-11-16,2025-12-07,21,39.0,Colombia,female,mobile,organic search,tier_2,premium,11,21,14.2,8,0,3,0,1,0,0.0,4,16,6.2,1978.0,0,none,1.9090909090909092,298.2,88,1
USR-00021,2025-12-01,2025-12-15,14,37.0,Colombia,prefer_not_to_say,desktop,organic search,tier_1,standard,9,17,11.4,7,1,6,0,1,0,15.0,2,11,7.1,733.0,0,none,1.8888888888888888,193.8,63,1
USR-00022,2025-03-10,2025-03-31,21,31.0,Argentina,male,mobile,organic search,tier_1,standard,13,17,14.5,12,0,6,0,1,0,15.0,5,13,4.4,1461.0,1,premium,1.3076923076923077,246.5,156,1
USR-00023,2025-04-14,2025-04-28,14,40.0,Colombia,female,mobile,paid ads,tier_3,basic,1,1,2.8,12,1,4,0,0,0,5.0,3,10,9.6,2849.0,0,none,1.0,2.8,12,0
USR-00024,2025-09-11,2025-09-18,7,43.0,Colombia,male,mobile,partner,tier_1,standard,4,9,24.7,13,2,3,1,0,0,25.0,3,7,9.5,877.0,0,none,2.25,222.29999999999998,52,0
USR-00025,2025-06-28,2025-07-12,14,30.0,Argentina,female,tablet,partner,tier_3,standard,4,4,9.7,9,0,6,1,1,0,5.0,4,15,6.6,1616.0,0,none,1.0,38.8,36,1
USR-00026,2025-09-23,2025-10-07,14,33.0,Colombia,male,mobile,partner,tier_1,standard,8,43,11.8,7,0,4,0,1,1,25.0,4,9,4.2,2685.0,1,premium,5.375,507.40000000000003,56,1
USR-00027,2025-08-22,2025-09-05,14,28.0, PERÚ ,prefer_not_to_say,desktop,organic search,tier_1,standard,11,25,14.1,9,0,7,0,1,0,15.0,4,5,7.7,1885.0,0,none,2.272727272727273,352.5,99,1
USR-00028,2025-02-11,2025-02-18,7,34.0,Colombia,female,desktop,referral,tier_3,premium,6,11,26.0,6,1,5,0,1,0,0.0,3,6,9.6,831.0,0,none,1.8333333333333333,286.0,36,1
USR-00029,2025-04-21,2025-05-05,14,24.0,Perú,non_binary,desktop,organic search,tier_1,basic,14,37,3.5,12,3,8,0,0,1,10.0,0,6,6.6,988.0,1,standard,2.642857142857143,129.5,168,0
USR-00030,2025-01-12,2025-01-26,14,34.0,Perú,male,mobile,partner,tier_1,basic,14,26,18.9,13,1,7,0,1,0,15.0,10,9,4.7,1800.0,0,none,1.8571428571428572,491.4,182,1
USR-00031,2025-07-02,2025-08-01,30,34.0,Colombia,male,mobile,email campaign,tier_1,premium,15,25,15.1,14,1,4,0,0,1,0.0,1,28,7.2,1061.0,0,none,1.6666666666666667,377.5,210,0
USR-00032,2025-12-25,2026-01-01,7,26.0,Colombia,non_binary,mobile,partner,tier_3,basic,1,2,2.8,6,0,4,1,1,0,20.0,3,5,9.2,1217.0,0,none,2.0,5.6,6,1
USR-00033,2025-08-29,2025-09-12,14,31.0,Chile,female,desktop,partner,tier_2,premium,7,16,14.6,13,0,3,0,0,1,15.0,3,4,7.1,1458.0,0,none,2.2857142857142856,233.6,91,0
USR-00034,2025-11-19,2025-12-03,14,41.0,Ecuador,male,mobile,organic search,tier_1,basic,8,13,4.2,16,0,5,0,1,1,15.0,5,11,7.1,1458.0,1,standard,1.625,54.6,128,1
USR-00035,2025-08-10,2025-08-24,14,43.0, PERÚ ,male,mobile,referral,tier_3,basic,4,9,26.1,7,0,6,1,1,0,0.0,3,9,8.0,1620.0,1,basic,2.25,234.9,28,1
USR-00036,2025-02-27,2025-03-06,7,33.0,Argentina,male,desktop,paid ads,tier_2,standard,3,3,6.5,11,2,2,0,0,0,0.0,1,11,7.1,1458.0,0,none,1.0,19.5,33,0
USR-00037,2025-03-13,2025-03-20,7,28.0,Ecuador,male,tablet,social media,tier_3,basic,1,2,21.3,7,0,4,0,1,0,0.0,2,9,8.9,1836.0,0,none,2.0,42.6,7,1
USR-00038,2025-11-13,2025-11-20,7,36.0,desconocido,female,desktop,Partner,tier_3,basic,4,4,18.2,12,0,3,1,0,0,15.0,5,6,5.2,1844.0,0,none,1.0,72.8,48,0
USR-00039,2025-12-16,2026-01-15,30,30.0,Ecuador,prefer_not_to_say,mobile,social media,tier_1,premium,7,21,16.3,13,0,7,0,0,0,20.0,1,30,6.8,856.0,0,none,3.0,342.3,91,0
USR-00040,2025-08-19,2025-09-09,21,49.0,Ecuador,prefer_not_to_say,mobile,email campaign,tier_1,premium,17,24,6.2,16,1,4,1,0,0,20.0,4,17,8.7,2305.0,0,none,1.411764705882353,148.8,272,0
USR-00041,2025-06-05,2025-06-26,21,36.0,Colombia,male,desktop,organic search,tier_3,basic,15,34,10.9,9,1,3,0,0,0,10.0,2,13,7.3,1730.0,0,none,2.2666666666666666,370.6,135,0
USR-00042,2025-10-21,2025-11-11,21,18.0,Colombia,female,desktop,organic search,tier_1,basic,14,19,20.6,8,1,12,1,1,0,25.0,4,9,9.0,1273.0,1,standard,1.3571428571428572,391.40000000000003,112,1
USR-00043,2025-11-20,2025-12-20,30,47.0,Perú,prefer_not_to_say,mobile,partner,tier_2,basic,21,41,13.3,12,0,10,0,1,0,0.0,9,22,4.3,1569.0,0,none,1.9523809523809523,545.3000000000001,252,1
USR-00044,2025-10-29,2025-11-12,14,42.0,Ecuador,male,mobile,organic search,tier_1,basic,1,2,18.6,5,0,4,0,1,0,10.0,1,14,7.1,1458.0,0,none,2.0,37.2,5,0
USR-00045,2025-03-12,2025-03-26,14,33.0,Colombia,female,desktop,paid ads,tier_2,premium,4,7,8.0,6,0,9,0,0,0,15.0,3,12,6.2,793.0,0,none,1.75,56.0,24,0
USR-00046,2025-03-19,2025-04-02,14,38.0,Chile,male,desktop,paid ads,tier_1,basic,5,7,20.3,12,1,5,0,0,0,20.0,3,9,5.7,1563.0,1,premium,1.4,142.1,60,0
USR-00047,2025-11-07,2025-11-21,14,44.0,Colombia,female,mobile,paid ads,tier_1,basic,10,18,23.5,9,2,8,0,0,1,20.0,2,7,5.3,827.0,0,none,1.8,423.0,90,0
USR-00048,2025-06-29,2025-07-13,14,18.0,Chile,male,tablet,social media,tier_1,basic,10,24,16.2,11,1,6,1,0,0,5.0,3,14,7.4,1946.0,0,none,2.4,388.79999999999995,110,0
USR-00049,2025-11-17,2025-12-17,30,41.0,Perú,female,desktop,referral,tier_1,standard,8,16,14.1,4,0,7,0,0,0,15.0,2,20,6.8,2493.0,0,none,2.0,225.6,32,0
USR-00050,2025-11-25,2025-12-16,21,27.0,Colombia,female,mobile,referral,tier_2,premium,11,24,14.1,12,0,6,0,1,0,15.0,3,11,6.8,717.0,1,standard,2.1818181818181817,338.4,132,1
USR-00051,2025-03-06,2025-03-20,14,33.0,Colombia,male,mobile,paid ads,tier_2,basic,11,17,6.8,4,0,5,1,0,0,10.0,5,10,7.7,938.0,1,basic,1.5454545454545454,115.6,44,0
USR-00052,2025-08-20,2025-09-10,21,35.0,Chile,female,mobile,paid ads,tier_2,standard,12,21,18.5,12,0,5,0,1,0,0.0,1,16,4.8,769.0,0,none,1.75,388.5,144,0
USR-00054,2025-01-10,2025-01-24,14,23.0,Argentina,prefer_not_to_say,desktop,partner,tier_2,premium,9,13,3.6,7,0,12,0,0,0,15.0,3,1,7.9,994.0,1,standard,1.4444444444444444,46.800000000000004,63,0
USR-00055,2025-03-29,2025-04-12,14,33.0,Argentina,male,mobile,partner,tier_2,basic,4,7,20.0,10,2,7,0,1,0,10.0,4,12,10.0,574.0,0,none,1.75,140.0,40,1
USR-00056,2025-08-18,2025-09-01,14,28.0,Chile,female,mobile,social media,tier_1,basic,7,12,21.0,9,1,3,0,1,0,0.0,3,8,5.9,250.0,0,none,1.7142857142857142,252.0,63,1
USR-00057,2025-09-08,2025-09-22,14,37.0,México,male,mobile,organic search,tier_2,basic,4,10,16.1,9,0,6,1,1,0,10.0,0,12,6.7,750.0,1,standard,2.5,161.0,36,0
USR-00058,2025-12-30,2026-01-20,21,30.0,Colombia,male,mobile,partner,tier_2,premium,12,11,8.3,10,1,4,0,0,0,5.0,2,11,5.3,1546.0,0,none,0.9166666666666666,91.30000000000001,120,0
USR-00059,2025-05-22,2025-06-12,21,43.0,colombia,prefer_not_to_say,mobile,Email Campaign,tier_3,standard,11,16,29.9,12,0,5,0,1,0,10.0,3,10,7.1,1458.0,0,none,1.4545454545454546,478.4,132,1
USR-00060,2025-05-05,2025-05-19,14,28.0,Perú,female,mobile,organic search,tier_1,basic,14,29,12.2,15,0,5,0,0,0,5.0,5,7,4.9,804.0,0,none,2.0714285714285716,353.79999999999995,210,0
USR-00061,2025-10-06,2025-10-20,14,28.0,Colombia,female,mobile,Organic Search,tier_2,basic,12,27,14.7,9,1,10,1,0,0,0.0,3,2,10.0,702.0,0,none,2.25,396.9,108,0
USR-00062,2025-10-29,2025-11-12,14,34.0,Perú,female,mobile,referral,tier_1,basic,9,16,8.5,11,1,3,1,0,0,15.0,6,14,8.5,1053.0,0,none,1.7777777777777777,136.0,99,0
USR-00063,2025-06-05,2025-06-19,14,18.0,Colombia,female,desktop,email campaign,tier_1,basic,9,21,10.6,8,1,8,0,0,0,25.0,4,7,7.4,2807.0,0,none,2.3333333333333335,222.6,72,0
USR-00064,2025-05-22,2025-05-29,7,33.0, COLOMBIA ,male,desktop,email_campaign,tier_2,premium,2,3,15.7,1,0,3,0,0,0,0.0,1,8,6.5,1402.0,1,basic,1.5,47.099999999999994,2,0
USR-00065,2025-04-20,2025-04-27,7,36.0,Colombia,male,desktop,social media,tier_1,standard,3,6,10.8,6,0,5,1,1,0,10.0,3,8,8.5,995.0,0,none,2.0,64.80000000000001,18,1
USR-00066,2025-11-21,2025-12-05,14,33.0,Chile,female,mobile,email campaign,tier_3,basic,12,18,24.3,11,1,3,1,0,0,15.0,2,7,7.1,1894.0,0,none,1.5,437.40000000000003,132,0
USR-00067,2025-12-14,2025-12-21,7,45.0,Ecuador,male,mobile,social media,tier_1,standard,6,6,27.0,9,0,5,0,0,0,15.0,0,3,9.2,1045.0,0,none,1.0,162.0,54,0
USR-00068,2025-08-21,2025-09-04,14,18.0,Argentina,male,desktop,organic search,tier_3,basic,9,15,8.7,8,1,6,1,1,0,0.0,4,10,6.3,1552.0,0,none,1.6666666666666667,130.5,72,1
USR-00069,2025-12-04,2025-12-18,14,34.0,México,female,mobile,email campaign,tier_3,premium,6,8,17.5,12,0,2,0,1,0,20.0,6,15,8.6,1312.0,1,premium,1.3333333333333333,140.0,72,1
USR-00071,2025-03-16,2025-03-30,14,33.0,Chile,female,mobile,email campaign,tier_3,premium,7,8,3.4,8,2,2,1,1,1,10.0,3,4,6.4,2163.0,1,standard,1.1428571428571428,27.2,56,1
USR-00072,2025-12-07,2025-12-21,14,25.0,Colombia,female,mobile,email_campaign,tier_1,premium,10,16,14.4,9,0,9,0,0,0,20.0,7,10,6.5,1646.0,1,premium,1.6,230.4,90,0
USR-00073,2025-01-12,2025-02-02,21,38.0,Colombia,male,mobile,partner,tier_1,standard,11,20,13.7,9,1,11,1,0,0,15.0,3,22,8.8,2002.0,1,standard,1.8181818181818181,274.0,99,0
USR-00074,2025-10-04,2025-10-18,14,33.0,México,male,desktop,organic search,tier_1,basic,10,16,8.6,18,3,4,0,1,0,10.0,4,6,6.9,928.0,0,none,1.6,137.6,180,1
USR-00075,2025-09-16,2025-09-30,14,31.0,México,male,mobile,email campaign,tier_1,basic,6,12,14.1,10,0,3,0,0,0,0.0,3,12,7.0,2212.0,0,none,2.0,169.2,60,0
USR-00076,2025-01-14,2025-01-28,14,51.0,Colombia,female,mobile,referral,tier_2,basic,11,19,7.5,11,2,6,0,1,0,15.0,6,4,7.5,712.0,1,premium,1.7272727272727273,142.5,121,1
USR-00077,2025-11-03,2025-11-10,7,40.0,México,female,mobile,organic search,tier_1,basic,4,10,17.1,10,1,4,0,1,0,10.0,4,1,6.7,1705.0,0,none,2.5,171.0,40,1
USR-00078,2025-08-04,2025-08-18,14,19.0,Colombia,female,tablet,social media,tier_2,premium,11,28,14.8,10,0,5,0,0,1,20.0,3,7,5.7,2286.0,1,standard,2.5454545454545454,414.40000000000003,110,0
USR-00079,2025-08-16,2025-09-06,21,41.0,México,prefer_not_to_say,mobile,organic search,tier_1,standard,8,18,8.8,7,0,7,1,1,0,5.0,3,14,7.8,1554.0,0,none,2.25,158.4,56,1
USR-00080,2025-08-06,2025-09-05,30,26.0,Colombia,male,desktop,organic search,tier_1,basic,18,28,21.8,14,0,13,0,0,0,0.0,5,26,4.2,946.0,0,none,1.5555555555555556,610.4,252,0
USR-00081,2025-02-15,2025-03-01,14,37.0,Chile,male,desktop,email campaign,tier_1,standard,8,8,12.9,6,4,9,0,1,1,20.0,8,15,10.0,1316.0,0,none,1.0,103.2,48,1
USR-00082,2025-07-06,2025-07-20,14,45.0,Ecuador,male,mobile,social media,tier_2,premium,12,27,16.8,10,1,6,1,0,1,0.0,5,10,5.9,1619.0,0,none,2.25,453.6,120,0
USR-00083,2025-12-12,2025-12-26,14,32.0,Perú,female,mobile,organic search,tier_1,standard,6,9,16.4,7,0,1,1,0,1,0.0,5,4,8.6,1246.0,1,standard,1.5,147.6,42,0
USR-00084,2025-05-12,2025-05-26,14,31.0,Chile,prefer_not_to_say,desktop,referral,tier_2,premium,11,20,8.8,12,1,5,0,1,0,15.0,3,4,7.9,1324.0,1,premium,1.8181818181818181,176.0,132,1
USR-00085,2025-09-06,2025-09-13,7,48.0,México,male,mobile,social media,tier_3,basic,7,6,8.8,4,0,8,0,0,0,0.0,4,6,6.6,723.0,0,none,0.8571428571428571,52.800000000000004,28,0
USR-00086,2025-05-19,2025-06-18,30,34.0,Chile,male,desktop,paid ads,tier_1,standard,7,14,16.9,9,0,4,0,0,0,10.0,2,25,7.8,1135.0,0,none,2.0,236.59999999999997,63,0
USR-00087,2025-12-03,2025-12-10,7,47.0,México,female,mobile,organic search,tier_1,basic,1,1,18.2,3,2,5,0,1,1,25.0,2,9,5.4,1254.0,0,none,1.0,18.2,3,1
USR-00088,2025-05-31,2025-06-07,7,28.0,desconocido,male,desktop,partner,tier_3,basic,3,4,14.2,3,0,6,0,0,0,15.0,1,5,6.3,574.0,1,standard,1.3333333333333333,56.8,9,0
USR-00089,2025-08-03,2025-08-10,7,39.0,Perú,male,tablet,organic search,tier_2,standard,5,8,6.0,9,0,5,0,1,0,0.0,1,4,9.9,2323.0,0,none,1.6,48.0,45,0
USR-00090,2025-12-18,2026-01-17,30,40.0, COLOMBIA ,male,desktop,email_campaign,tier_1,basic,11,21,17.9,6,3,4,0,0,0,20.0,6,18,7.1,1458.0,0,none,1.9090909090909092,375.9,66,0
USR-00091,2025-09-28,2025-10-12,14,35.0,Perú,prefer_not_to_say,mobile,paid ads,tier_1,standard,9,20,15.6,12,0,4,0,0,0,25.0,3,3,10.0,2593.0,0,none,2.2222222222222223,312.0,108,0
USR-00092,2025-05-07,2025-05-21,14,39.0,Perú,female,mobile,paid ads,tier_1,standard,7,13,22.5,12,1,5,1,0,0,15.0,0,13,7.2,250.0,0,none,1.8571428571428572,292.5,84,0
USR-00093,2025-07-26,2025-08-25,30,40.0,Colombia,male,mobile,partner,tier_1,basic,18,28,13.8,19,1,8,0,0,0,10.0,6,20,4.7,903.0,0,none,1.5555555555555556,386.40000000000003,342,0
USR-00094,2025-01-06,2025-02-05,30,38.0,Colombia,female,mobile,social media,tier_2,premium,16,30,16.2,14,2,6,0,0,0,10.0,3,20,6.7,1747.0,0,none,1.875,486.0,224,0
USR-00095,2025-07-20,2025-08-10,21,31.0,colombia,male,desktop,Referral,tier_2,basic,11,16,10.9,8,1,9,0,0,1,25.0,6,12,8.5,2226.0,1,standard,1.4545454545454546,174.4,88,0
USR-00096,2025-09-08,2025-09-22,14,42.0,Perú,non_binary,mobile,partner,tier_2,premium,9,16,22.8,7,1,10,0,0,0,15.0,2,13,7.1,1458.0,0,none,1.7777777777777777,364.8,63,0
USR-00097,2025-11-18,2025-12-02,14,27.0,México,female,desconocido,referral,tier_3,basic,9,9,23.3,9,0,7,0,0,0,25.0,4,12,8.4,807.0,0,none,1.0,209.70000000000002,81,0
USR-00098,2025-08-03,2025-08-17,14,21.0,México,male,mobile,referral,tier_1,standard,12,23,14.1,11,0,10,0,0,0,0.0,7,9,9.5,1530.0,0,none,1.9166666666666667,324.3,132,0
USR-00099,2025-10-05,2025-10-26,21,41.0,Colombia,male,desktop,social media,tier_1,basic,7,6,13.1,15,1,11,0,0,0,15.0,5,22,5.3,2229.0,0,none,0.8571428571428571,78.6,105,0
USR-00100,2025-01-03,2025-01-10,7,31.0,Argentina,prefer_not_to_say,mobile,social media,tier_3,standard,4,13,5.2,12,1,5,0,1,0,10.0,3,5,8.1,2381.0,0,none,3.25,67.60000000000001,48,1
USR-00101,2025-08-10,2025-08-31,21,36.0,Perú,male,desktop,partner,tier_1,standard,15,35,21.1,13,1,6,0,1,0,5.0,6,14,8.4,734.0,1,standard,2.3333333333333335,738.5,195,1
USR-00102,2025-08-10,2025-08-31,21,38.0,Colombia,male,mobile,partner,tier_1,standard,13,17,2.0,9,1,4,0,0,1,20.0,2,9,6.5,1111.0,0,none,1.3076923076923077,34.0,117,0
USR-00103,2025-05-05,2025-05-12,7,28.0,Argentina,male,mobile,paid ads,tier_2,premium,6,14,19.1,5,0,7,0,1,1,0.0,2,10,7.5,722.0,0,none,2.3333333333333335,267.40000000000003,30,1
USR-00104,2025-07-20,2025-08-03,14,33.0,Perú,male,tablet,partner,tier_2,basic,14,25,11.5,16,0,5,0,1,0,20.0,5,11,4.9,1653.0,0,none,1.7857142857142858,287.5,224,1
USR-00105,2025-08-14,2025-08-28,14,27.0,México,male,desktop,partner,tier_1,basic,7,18,23.4,10,0,6,0,0,0,0.0,2,18,7.5,1852.0,0,none,2.5714285714285716,421.2,70,0
USR-00106,2025-08-17,2025-08-31,14,36.0,México,female,desktop,email campaign,tier_1,premium,12,21,13.7,10,2,3,0,0,0,0.0,3,3,7.3,1091.0,0,none,1.75,287.7,120,0
USR-00107,2025-08-15,2025-09-05,21,30.0,Ecuador,female,mobile,referral,tier_1,basic,14,29,11.4,14,0,6,1,0,0,20.0,3,5,4.2,990.0,0,none,2.0714285714285716,330.6,196,0
USR-00108,2025-01-06,2025-01-20,14,43.0,Chile,male,mobile,referral,tier_1,standard,13,26,16.0,9,1,7,0,0,1,0.0,4,9,5.2,1658.0,1,premium,2.0,416.0,117,0
USR-00109,2025-09-07,2025-10-07,30,33.0,Colombia,male,mobile,referral,tier_1,standard,1,1,6.1,7,2,3,0,1,1,0.0,3,32,5.3,1423.0,0,none,1.0,6.1,7,1
USR-00110,2025-03-11,2025-03-18,7,39.0,Ecuador,male,desktop,paid ads,tier_2,standard,6,16,19.1,10,1,3,0,1,0,10.0,2,9,7.7,580.0,0,none,2.6666666666666665,305.6,60,1
USR-00111,2025-06-11,2025-06-25,14,32.0,mexico,male,tablet,Paid Ads,tier_2,basic,10,9,11.5,7,0,8,0,0,0,10.0,5,16,5.8,250.0,0,none,0.9,103.5,70,0
USR-00112,2025-08-05,2025-08-19,14,34.0,Chile,male,desktop,social media,tier_3,premium,10,15,21.1,9,1,4,0,0,0,0.0,2,15,8.8,1351.0,1,standard,1.5,316.5,90,0
USR-00113,2025-11-10,2025-11-17,7,47.0,Perú,male,desktop,organic search,tier_1,basic,3,5,14.6,7,0,3,0,0,0,10.0,4,0,7.7,1189.0,0,none,1.6666666666666667,73.0,21,0
USR-00114,2025-04-06,2025-04-20,14,18.0,Ecuador,female,mobile,partner,tier_3,premium,7,13,20.0,9,2,4,1,0,0,20.0,4,14,7.1,1458.0,0,none,1.8571428571428572,260.0,63,0
USR-00115,2025-01-25,2025-02-15,21,42.0,Chile,female,mobile,organic search,tier_3,premium,10,20,11.1,21,0,4,0,0,0,15.0,1,13,6.0,2153.0,0,none,2.0,222.0,210,0
USR-00116,2025-09-03,2025-09-17,14,18.0,Ecuador,male,tablet,email_campaign,tier_1,basic,13,24,7.9,17,1,7,0,0,1,5.0,2,11,7.2,989.0,0,none,1.8461538461538463,189.60000000000002,221,0
USR-00117,2025-10-02,2025-10-16,14,23.0,Chile,prefer_not_to_say,desktop,social media,tier_3,basic,3,6,8.1,9,0,4,0,0,0,0.0,2,11,7.1,1123.0,0,none,2.0,48.599999999999994,27,0
USR-00118,2025-12-07,2026-01-06,30,44.0,Ecuador,female,desktop,partner,tier_1,premium,13,30,27.7,10,0,8,1,0,1,0.0,4,21,8.8,1765.0,0,none,2.3076923076923075,831.0,130,0
USR-00119,2025-11-01,2025-11-22,21,41.0,México,male,mobile,partner,tier_1,basic,20,39,4.1,17,1,5,1,0,0,0.0,5,8,6.9,1224.0,0,none,1.95,159.89999999999998,340,0
USR-00120,2025-05-04,2025-05-11,7,23.0,México,female,desktop,email campaign,tier_3,standard,7,15,21.0,8,2,11,0,1,0,5.0,2,5,8.3,1652.0,1,basic,2.142857142857143,315.0,56,1
USR-00121,2025-09-18,2025-10-18,30,32.0,desconocido,female,mobile,partner,tier_1,standard,1,1,23.2,2,1,1,0,1,1,20.0,2,26,3.3,2063.0,0,none,1.0,23.2,2,1
USR-00122,2025-09-04,2025-09-11,7,20.0,Colombia,female,desktop,social media,tier_3,basic,3,3,13.6,6,0,6,0,0,0,0.0,2,6,8.4,2217.0,0,none,1.0,40.8,18,0
USR-00123,2025-12-31,2026-01-21,21,32.0,Argentina,male,mobile,social media,tier_2,basic,4,6,8.9,6,0,7,0,0,0,0.0,2,19,3.6,2016.0,0,none,1.5,53.400000000000006,24,0
USR-00124,2025-04-28,2025-05-19,21,23.0,Colombia,female,desktop,organic search,tier_2,basic,18,35,14.1,16,1,4,0,0,0,0.0,4,3,9.9,2487.0,1,basic,1.9444444444444444,493.5,288,0
USR-00125,2025-08-05,2025-08-12,7,24.0,Ecuador,female,mobile,email campaign,tier_1,basic,1,3,28.7,5,1,4,0,1,0,15.0,0,4,8.8,1547.0,0,none,3.0,86.1,5,0
USR-00126,2025-02-16,2025-02-23,7,26.0,Colombia,female,mobile,email campaign,tier_1,basic,3,7,20.2,9,1,2,1,0,0,15.0,3,2,7.8,418.0,0,none,2.3333333333333335,141.4,27,0
USR-00127,2025-06-21,2025-07-05,14,30.0,México,male,desktop,referral,tier_2,basic,8,20,14.1,15,1,4,0,1,0,20.0,2,4,6.3,571.0,0,none,2.5,282.0,120,1
USR-00128,2025-05-27,2025-06-03,7,35.0,Colombia,male,desktop,partner,tier_2,premium,1,2,12.6,5,0,8,0,1,1,10.0,3,6,7.5,1192.0,1,standard,2.0,25.2,5,1
USR-00129,2025-11-11,2025-11-18,7,30.0,Chile,female,mobile,partner,tier_1,standard,3,1,20.9,5,0,6,0,1,0,0.0,3,11,5.6,531.0,0,none,0.3333333333333333,20.9,15,1
USR-00130,2025-08-04,2025-08-18,14,33.0,Perú,male,mobile,paid ads,tier_3,standard,8,13,10.4,11,2,5,1,1,0,0.0,4,14,7.1,1458.0,0,none,1.625,135.20000000000002,88,1
